manufacturer,product_code,name_en,name_zh,facestock_en,facestock_zh,adhesive_en,adhesive_zh,application_en,application_zh,industries,features_en,features_zh,benefits_en,benefits_zh,temperature_performance,certifications,tds_url,catalog_url,data_status,sources,last_verified,tds_local_path
YS-Tech,HP-350N,HP-350N HEATPROOF Heat Resistant Label,HP-350N HEATPROOF 耐高温标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Dual-use label: direct hot application on hot steel and aluminum surfaces up to 400℃ (apply-to-hot), and heat treatment process management applied from room temperature then heated (apply-cold-then-heat) through annealing, homogenizing and reflow processes. Case studies: aluminum billet homogenizing (applied at room temperature, then 550℃ x 12 hours) and injection casting mold management (200〜400℃, multiple cycles). Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig management.",两用标签：可直接贴附于最高400℃的高温钢材和铝材表面（热贴），也可在室温贴附后经受加热（冷贴后加热），用于退火、均质化、回流焊等热处理工序的过程管理。应用案例：铝坯均质化工艺（室温贴附后550℃ x 12小时）、注射铸造模具管理（200〜400℃，多次循环）。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Application temperature up to 400℃ (can be applied to hot surfaces) | Application temperature from room temp to 400℃ | Maximum heat resistance to 600℃ | Excellent ink stability and resistance to ink smudging when applying at high temperatures,贴附温度最高可达400℃（可直接贴附于高温表面） | 贴附温度范围：室温至400℃ | 最高耐热温度600℃ | 高温贴附时油墨稳定性优异，抗油墨晕染,"Identify and barcode products at high temperatures, or track products through high temperature processes | Variable information and barcodes can be printed on demand with standard thermal transfer printers",可在高温下对产品进行标识和条码化，或在高温工序中跟踪产品 | 可用标准热转印打印机按需打印可变信息和条码,Application temperature up to 400℃ (from room temp to 400℃); maximum heat resistance to 600℃,,https://www.heatprooflabel.com/products/direct-label/,https://www.heatprooflabel.com/products/direct-label/,verified,https://www.heatprooflabel.com/products/direct-label/ | https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/products/ | https://www.heatprooflabel.com/cases/aluminum-02/ | https://www.heatprooflabel.com/cases/mold-01/,2026-07-03,
YS-Tech,HP-600,HP-600 HEATPROOF Label for Direct Hot Application,HP-600 HEATPROOF 高温直贴标签,,,Heat activated adhesive,热活化型胶粘剂,"Direct hot application (apply-to-hot) on hot steel and aluminum products immediately after casting/rolling, at surface temperatures from 250℃ to 600℃. Installation examples: steel hot coil at 550℃ and aluminum sow at 500℃, applied manually or with robotic labeler systems. Industries: steel, aluminum.",高温直贴（热贴）标签，可在铸造/轧制后立即贴附于表面温度250℃至600℃的高温钢材和铝材产品。安装示例：550℃的热轧钢卷、500℃的铝锭（sow），可人工或用机器人贴标系统贴附。行业：钢铁、铝业。,Steel | Aluminum,Application temperature from 250℃ to 600℃ | Maximum heat resistance to 600℃ | Heat activated adhesive (activated by hot direct application),贴附温度范围：250℃至600℃ | 最高耐热温度600℃ | 热活化型胶粘剂（通过高温直贴激活）,Identify and barcode hot coils soon after rolling; products can be accurately identified and verified downstream using barcode scanners | Labels printed on demand or pre-printed using standard thermal transfer printers,轧制后即可对热轧卷进行标识和条码化；下游工序可用条码扫描器准确识别和核验产品 | 可用标准热转印打印机按需打印或预印标签,Application temperature from 250℃ to 600℃; maximum heat resistance to 600℃,,https://www.heatprooflabel.com/products/direct-label/,https://www.heatprooflabel.com/products/direct-label/,verified,https://www.heatprooflabel.com/products/direct-label/ | https://www.heatprooflabel.com/cases/steel-02/,2026-07-03,
YS-Tech,HP-700T,HP-700T HEATPROOF Label for Direct Hot Application,HP-700T HEATPROOF 高温直贴标签,,,Heat activated adhesive,热活化型胶粘剂,"Direct hot application (apply-to-hot) on hot steel products immediately after casting, at surface temperatures from 450℃ to 800℃. Installation examples: steel slab at 800℃, steel billet at 750℃, steel bloom at 800℃, applied with robotic labeler systems. Industries: steel, aluminum.",高温直贴（热贴）标签，可在铸造后立即贴附于表面温度450℃至800℃的高温钢材产品。安装示例：800℃钢板坯（slab）、750℃钢坯（billet）、800℃大方坯（bloom），可用机器人贴标系统贴附。行业：钢铁、铝业。,Steel | Aluminum,Application temperature from 450℃ to 800℃ | Heat resistance up to 800℃ | Heat activated adhesive (activated by hot direct application),贴附温度范围：450℃至800℃ | 耐热温度最高800℃ | 热活化型胶粘剂（通过高温直贴激活）,"Automatically identify each hot slab/billet with visually clear identification and barcodes | Verify product identity downstream using barcode scanners, cameras or imaging systems",自动对每块热板坯/钢坯进行清晰可视的标识和条码识别 | 下游工序可用条码扫描器、相机或成像系统核验产品身份,Application temperature from 450℃ to 800℃; heat resistance up to 800℃,,https://www.heatprooflabel.com/products/direct-label/,https://www.heatprooflabel.com/products/direct-label/,verified,https://www.heatprooflabel.com/products/direct-label/ | https://www.heatprooflabel.com/cases/steel-01/ | https://www.heatprooflabel.com/cases/steel-03/,2026-07-03,
YS-Tech,HP-900,HP-900 HEATPROOF Label for Direct Hot Application,HP-900 HEATPROOF 高温直贴标签,,,Heat activated adhesive,热活化型胶粘剂,"Direct hot application (apply-to-hot) on hot steel and aluminum products immediately after casting, at surface temperatures from 450℃ up to 900℃ (highest application temperature in the HEATPROOF direct hot application lineup). Industries: steel, aluminum.",高温直贴（热贴）标签，可在铸造后立即贴附于表面温度450℃至最高900℃的高温钢材和铝材产品（HEATPROOF高温直贴系列中贴附温度最高的型号）。行业：钢铁、铝业。,Steel | Aluminum,Application temperature from 450℃ to 900℃ | Maximum heat resistance to 900℃ | Heat activated adhesive (activated by hot direct application),贴附温度范围：450℃至900℃ | 最高耐热温度900℃ | 热活化型胶粘剂（通过高温直贴激活）,Products can be accurately identified and verified in downstream processes using barcode scanners | Labels printed on demand or pre-printed using standard thermal transfer printers,下游工序可用条码扫描器准确识别和核验产品 | 可用标准热转印打印机按需打印或预印标签,Application temperature from 450℃ to 900℃; maximum heat resistance to 900℃,,https://www.heatprooflabel.com/products/direct-label/,https://www.heatprooflabel.com/products/direct-label/,verified,https://www.heatprooflabel.com/products/direct-label/ | https://www.heatprooflabel.com/products/,2026-07-03,
YS-Tech,HP-120S,HP-120S HEATPROOF Label for Heat Treatment Process Management,HP-120S HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management: applied from room temperature (apply-cold-then-heat) and tracked through reheat processes up to 220℃. Case study: identification of injection casting molds through 200〜400℃ multi-cycle heating (used alongside HP-150N/HP-350N). Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签：室温贴附（冷贴后加热），可在最高220℃的再加热工序中跟踪产品。应用案例：注射铸造模具在200〜400℃多次循环加热中的标识管理（与HP-150N/HP-350N配合使用）。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Application temperature from room temp to 220℃ | Maximum heat resistance to 220℃ | Chemical resistance | Strong initial adhesion | Excellent ink stability and resistance to smudging at higher application temperatures,贴附温度范围：室温至220℃ | 最高耐热温度220℃ | 耐化学性 | 初粘力强 | 较高贴附温度下油墨稳定性优异、抗晕染,Scan barcodes into and out of reheat furnaces; printed information and barcodes remain intact through the reheat process | Labels can be die-cut to any size and printed on site,进出再加热炉均可扫描条码；打印信息和条码在再加热过程中保持完好 | 标签可模切成任意尺寸并现场打印,Application temperature from room temp to 220℃; maximum heat resistance to 220℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/cases/mold-01/,2026-07-03,
YS-Tech,HP-120SH4,HP-120SH4 HEATPROOF Label for Heat Treatment Process Management,HP-120SH4 HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management: applied from room temperature (apply-cold-then-heat), tracked through reheat processes up to 220℃. Case studies: barcode ID management of concrete building panels and pylons through autoclave curing (10MPa, 180〜200℃ for 12 to several dozen hours). Industries: steel, aluminum, ceramic, automotive, electronics, concrete, casting/jig and asset management.",热处理过程管理标签：室温贴附（冷贴后加热），可在最高220℃的再加热工序中跟踪产品。应用案例：混凝土建材板和电线杆在蒸压养护（10MPa、180〜200℃、12小时至数十小时）中的条码标识管理。行业：钢铁、铝业、陶瓷、汽车、电子、混凝土、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Concrete | Casting,Application temperature from room temp to 220℃ | Maximum heat resistance to 220℃ | Higher chemical resistance than HP-120S | Stronger initial adhesion than HP-120S | Excellent ink stability and resistance to smudging at higher application temperatures,贴附温度范围：室温至220℃ | 最高耐热温度220℃ | 耐化学性高于HP-120S | 初粘力强于HP-120S | 较高贴附温度下油墨稳定性优异、抗晕染,"Survives autoclave processes (10MPa, up to 200℃) with barcodes remaining scannable, enabling accurate inventory tracking | Printed information and barcodes remain intact through the reheat process",可耐受蒸压工艺（10MPa、最高200℃），条码仍可扫描，实现准确的库存跟踪 | 打印信息和条码在再加热过程中保持完好,Application temperature from room temp to 220℃; maximum heat resistance to 220℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/cases/concrete-01/,2026-07-03,
YS-Tech,HP-ST200,HP-ST200 HEATPROOF Label for Heat Treatment Process Management,HP-ST200 HEATPROOF 热处理过程管理标签,PI core material (Polyimide),PI（聚酰亚胺）基材,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management (apply-cold-then-heat): barcode tracking through reheat processes up to 300℃ such as annealing, homogenizing and reflow. Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：可在最高300℃的退火、均质化、回流焊等再加热工序中进行条码跟踪。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 300℃ | Higher chemical resistance | Stronger initial adhesion | PI core material | Excellent ink stability,最高耐热温度300℃ | 更高的耐化学性 | 更强的初粘力 | PI基材 | 油墨稳定性优异,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Maximum heat resistance to 300℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/,2026-07-03,
YS-Tech,HP-160,HP-160 HEATPROOF Label for Heat Treatment Process Management,HP-160 HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management (apply-cold-then-heat): applied from room temperature and tracked through reheat processes up to 300℃ such as annealing, homogenizing and reflow. Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：室温贴附，可在最高300℃的退火、均质化、回流焊等再加热工序中跟踪产品。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 300℃ | Application temperature from room temp to 300℃ | Exceptionally strong initial adhesion | Excellent ink stability,最高耐热温度300℃ | 贴附温度范围：室温至300℃ | 初粘力特别强 | 油墨稳定性优异,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Application temperature from room temp to 300℃; maximum heat resistance to 300℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/,2026-07-03,
YS-Tech,HP-150N,HP-150N HEATPROOF Label for Heat Treatment Process Management,HP-150N HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management (apply-cold-then-heat): applied from room temperature and tracked through reheat processes up to 350℃. Case study: identification of injection casting molds through 200〜400℃ multi-cycle heating (used alongside HP-120S/HP-350N). Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：室温贴附，可在最高350℃的再加热工序中跟踪产品。应用案例：注射铸造模具在200〜400℃多次循环加热中的标识管理（与HP-120S/HP-350N配合使用）。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 350℃ | Application temperature from room temp to 350℃ | Strong initial adhesion | Excellent ink stability,最高耐热温度350℃ | 贴附温度范围：室温至350℃ | 初粘力强 | 油墨稳定性优异,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Application temperature from room temp to 350℃; maximum heat resistance to 350℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/cases/mold-01/,2026-07-03,
YS-Tech,HP-360,HP-360 HEATPROOF Label for Heat Treatment Process Management,HP-360 HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page); stronger adhesion over 500℃,压敏胶（“热处理用标签”品类页的整体说明）；超过500℃时粘附力更强,"Heat treatment process management (apply-cold-then-heat): applied from room temperature and tracked through reheat processes up to 600℃. Case study: aluminum billet homogenizing (applied at room temperature, then 550℃ x 12 hours, used alongside HP-350N/HP-380N+). Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：室温贴附，可在最高600℃的再加热工序中跟踪产品。应用案例：铝坯均质化工艺（室温贴附后550℃ x 12小时，与HP-350N/HP-380N+配合使用）。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 600℃ | Stronger adhesion over 500℃ | Application temperature from room temp to 400℃ | Excellent ink stability,最高耐热温度600℃ | 超过500℃时粘附力更强 | 贴附温度范围：室温至400℃ | 油墨稳定性优异,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Application temperature from room temp to 400℃; maximum heat resistance to 600℃; stronger adhesion over 500℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/cases/aluminum-02/,2026-07-03,
YS-Tech,HP-380N+,HP-380N+ HEATPROOF Label for Heat Treatment Process Management,HP-380N+ HEATPROOF 热处理过程管理标签,"Thinner, softer AL (aluminum) core for application on rough surfaces",更薄更软的AL（铝）基材，适合贴附于粗糙表面,Unique 2 layer adhesive (pressure-sensitive per category-level statement),独特的双层胶粘剂（品类页整体说明为压敏胶）,"Heat treatment process management (apply-cold-then-heat): tracking through reheat processes up to 600℃, suitable for rough surfaces. Case study: aluminum billet homogenizing (applied at room temperature, then 550℃ x 12 hours, used alongside HP-350N/HP-360). Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：可在最高600℃的再加热工序中跟踪产品，适用于粗糙表面。应用案例：铝坯均质化工艺（室温贴附后550℃ x 12小时，与HP-350N/HP-360配合使用）。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,"Maximum heat resistance to 600℃ | Strong initial adhesion | Thinner, softer AL core for application on rough surfaces | Unique 2 layer adhesive | Excellent ink stability",最高耐热温度600℃ | 初粘力强 | 更薄更软的AL基材，可贴附于粗糙表面 | 独特的双层胶粘剂 | 油墨稳定性优异,Can be applied on rough surfaces where standard labels struggle | Printed information and barcodes remain intact through the reheat process,可贴附于普通标签难以附着的粗糙表面 | 打印信息和条码在再加热过程中保持完好,Maximum heat resistance to 600℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/ | https://www.heatprooflabel.com/cases/aluminum-02/,2026-07-03,
YS-Tech,HP-800A,HP-800A HEATPROOF Label for Heat Treatment Process Management,HP-800A HEATPROOF 热处理过程管理标签,,,Unique 2 layer adhesive (pressure-sensitive per category-level statement),独特的双层胶粘剂（品类页整体说明为压敏胶）,"Heat treatment process management (apply-cold-then-heat): barcode tracking through reheat processes up to 800℃ such as annealing and homogenizing. Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：可在最高800℃的退火、均质化等再加热工序中进行条码跟踪。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 800℃ | Strong initial adhesion | Unique 2 layer adhesive,最高耐热温度800℃ | 初粘力强 | 独特的双层胶粘剂,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Maximum heat resistance to 800℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/,2026-07-03,
YS-Tech,HP-800C,HP-800C HEATPROOF Label for Heat Treatment Process Management,HP-800C HEATPROOF 热处理过程管理标签,,,Pressure-sensitive adhesive (category-level statement on Labels for Heat Treatment page),压敏胶（“热处理用标签”品类页的整体说明）,"Heat treatment process management (apply-cold-then-heat): applied from room temperature and tracked through reheat processes up to 800℃. Industries: steel, aluminum, ceramic, automotive, electronics, casting/jig and asset management.",热处理过程管理标签（冷贴后加热）：室温贴附，可在最高800℃的再加热工序中跟踪产品。行业：钢铁、铝业、陶瓷、汽车、电子、铸造/治具及资产管理。,Steel | Aluminum | Ceramic | Automotive | Electronics | Casting,Maximum heat resistance to 800℃ | Application temperature from room temp to 400℃,最高耐热温度800℃ | 贴附温度范围：室温至400℃,Printed information and barcodes remain intact through the reheat process; scan barcodes into and out of reheat furnaces,打印信息和条码在再加热过程中保持完好；进出再加热炉均可扫描条码,Application temperature from room temp to 400℃; maximum heat resistance to 800℃,,https://www.heatprooflabel.com/products/management-label/,https://www.heatprooflabel.com/products/management-label/,verified,https://www.heatprooflabel.com/products/management-label/,2026-07-03,
